Predicted Values
1249791200.0
1249011100.0
1248246700.0
1247497300.0
1246747900.0
1245976800.0
1245221200.0
1244451800.0
1243695700.0
1242941600.0
1242182500.0
1241439200.0
1240730500.0
1240036400.0
1239356200.0
1238687700.0
1238027500.0
1237380600.0
1236746800.0
1236125600.0
1235516800.0
1234920300.0
1234335700.0
1233746700.0
1233164300.0
1232588700.0
1231980700.0
1231395800.0
1230822700.0
1230260700.0
1229709400.0
